iso3c,region_id,country_name,income_id,gdp
SMR,ECS,San Marino,HIC,58806.19922
SOM,SSF,Somalia,LIC,1862.614136
SRB,ECS,Serbia,UMC,18351.27344
SSD,SSF,South Sudan,LIC,1795.991943
STP,SSF,São Tomé and Príncipe,LMC,3720.786865
SUR,LCN,Suriname,UMC,16953.80273
SVK,ECS,Slovak Republic,HIC,31965.76172
SVN,ECS,Slovenia,HIC,39037.93359
SWE,ECS,Sweden,HIC,52608.71094
SWZ,SSF,Eswatini,LMC,8321.106445
SXM,LCN,Sint Maarten (Dutch part),HIC,NA
SYC,SSF,Seychelles,HIC,23302.95313
SYR,MEA,Syrian Arab Republic,LIC,8587.050781
TCA,LCN,Turks and Caicos Islands,HIC,28174.48242
TCD,SSF,Chad,LIC,1732.691284
TGO,SSF,Togo,LIC,1404.132935
THA,EAS,Thailand,UMC,16301.53809
TJK,ECS,Tajikistan,LIC,2616.475586
TKM,ECS,Turkmenistan,UMC,11471.18652
TLS,EAS,Timor-Leste,LMC,3344.57373
TON,EAS,Tonga,UMC,5636.418457
TTO,LCN,Trinidad and Tobago,HIC,28910.9082
TUN,MEA,Tunisia,LMC,10505.2627
TUR,ECS,Turkey,UMC,28289.08789
TUV,EAS,Tuvalu,UMC,3793.127686
TWN,EAS,NA,HIC,57362.92578
TZA,SSF,Tanzania,LIC,2128.553955
UGA,SSF,Uganda,LIC,1972.301758
UKR,ECS,Ukraine,LMC,11534.6377
URY,LCN,Uruguay,HIC,20588.39258
USA,NAC,United States,HIC,61498.37109
UZB,ECS,Uzbekistan,LMC,5164.274414
VCT,LCN,St. Vincent and the Grenadines,UMC,11971.99316
VEN,LCN,"Venezuela, RB",UMC,14269.67383
VGB,LCN,British Virgin Islands,HIC,24215.88281
VIR,LCN,Virgin Islands (U.S.),HIC,30436.56445
VNM,EAS,Vietnam,LMC,5089.411133
VUT,EAS,Vanuatu,LMC,3061.787354
WSM,EAS,Samoa,UMC,6210.983398
XKX,ECS,Kosovo,LMC,9723.561523
YEM,MEA,"Yemen, Rep.",LIC,8269.671875
ZAF,SSF,South Africa,UMC,12666.60742
ZMB,SSF,Zambia,LMC,3201.289307
ZWE,SSF,Zimbabwe,LIC,3190.506592
